0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
[CLS],cent,##ime,##tro,[SEP],la,del,##gad,##ez,(,im,##c,1,##7,),",",temperatura,3,##7,[UNK],<,star,##t,>,c,<,end,>,tensión,arterial,105,/,6,##0,",",se,encontraba,consciente,y,orientada,",",[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##igra,##do,[SEP],la,del,##gad,##ez,(,im,##c,1,##7,),",",temperatura,3,##7,[UNK],<,star,##t,>,c,<,end,>,tensión,arterial,105,/,6,##0,",",se,encontraba,consciente,y,orientada,",",[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cy,##stein,##e,[SEP],la,del,##gad,##ez,(,im,##c,1,##7,),",",temperatura,3,##7,[UNK],<,star,##t,>,c,<,end,>,tensión,arterial,105,/,6,##0,",",se,encontraba,consciente,y,orientada,",",[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],pea,##k,c,[SEP],la,del,##gad,##ez,(,im,##c,1,##7,),",",temperatura,3,##7,[UNK],<,star,##t,>,c,<,end,>,tensión,arterial,105,/,6,##0,",",se,encontraba,consciente,y,orientada,",",[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##ime,##tro,[SEP],semanas,",",ingresó,por,cuadro,de,fiebre,de,39,[UNK],<,star,##t,>,c,<,end,>,dolor,y,dificultad,para,movilizar,el,cuello,.,la,semana,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##igra,##do,[SEP],semanas,",",ingresó,por,cuadro,de,fiebre,de,39,[UNK],<,star,##t,>,c,<,end,>,dolor,y,dificultad,para,movilizar,el,cuello,.,la,semana,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cy,##stein,##e,[SEP],semanas,",",ingresó,por,cuadro,de,fiebre,de,39,[UNK],<,star,##t,>,c,<,end,>,dolor,y,dificultad,para,movilizar,el,cuello,.,la,semana,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],pea,##k,c,[SEP],semanas,",",ingresó,por,cuadro,de,fiebre,de,39,[UNK],<,star,##t,>,c,<,end,>,dolor,y,dificultad,para,movilizar,el,cuello,.,la,semana,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],liquid,##o,ce,##falo,##r,##ra,##qui,##deo,[SEP],anti,##bio,##terapia,con,amp,##ici,##lina,y,gen,##tam,##ici,##na,durante,tres,semanas,",",con,<,star,##t,>,l,##cr,<,end,>,negativo,al,alta,.,se,restable,##ció,aza,##tio,##prin,##a,una,vez,estable,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##ime,##tro,[SEP],la,del,##gad,##ez,(,im,##c,1,##7,),",",temperatura,3,##7,[UNK],<,star,##t,>,c,<,end,>,tensión,arterial,105,/,6,##0,",",se,encontraba,consciente,y,orientada,",",[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##igra,##do,[SEP],la,del,##gad,##ez,(,im,##c,1,##7,),",",temperatura,3,##7,[UNK],<,star,##t,>,c,<,end,>,tensión,arterial,105,/,6,##0,",",se,encontraba,consciente,y,orientada,",",[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cy,##stein,##e,[SEP],la,del,##gad,##ez,(,im,##c,1,##7,),",",temperatura,3,##7,[UNK],<,star,##t,>,c,<,end,>,tensión,arterial,105,/,6,##0,",",se,encontraba,consciente,y,orientada,",",[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],pea,##k,c,[SEP],la,del,##gad,##ez,(,im,##c,1,##7,),",",temperatura,3,##7,[UNK],<,star,##t,>,c,<,end,>,tensión,arterial,105,/,6,##0,",",se,encontraba,consciente,y,orientada,",",[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##ime,##tro,[SEP],semanas,",",ingresó,por,cuadro,de,fiebre,de,39,[UNK],<,star,##t,>,c,<,end,>,dolor,y,dificultad,para,movilizar,el,cuello,.,la,semana,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##igra,##do,[SEP],semanas,",",ingresó,por,cuadro,de,fiebre,de,39,[UNK],<,star,##t,>,c,<,end,>,dolor,y,dificultad,para,movilizar,el,cuello,.,la,semana,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cy,##stein,##e,[SEP],semanas,",",ingresó,por,cuadro,de,fiebre,de,39,[UNK],<,star,##t,>,c,<,end,>,dolor,y,dificultad,para,movilizar,el,cuello,.,la,semana,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],pea,##k,c,[SEP],semanas,",",ingresó,por,cuadro,de,fiebre,de,39,[UNK],<,star,##t,>,c,<,end,>,dolor,y,dificultad,para,movilizar,el,cuello,.,la,semana,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],fosa,il,##iac,##a,derecha,[SEP],hábitos,tóxicos,que,comenzó,con,clínica,de,dolor,abdomin,##al,en,<,star,##t,>,fid,<,end,>,más,pérdida,de,peso,.,se,la,estudió,de,forma,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],glu,##tam,##ic,ox,##ali,##c,trans,##amina,##se,[SEP],.,los,parámetros,bio,##quí,##micos,en,sangre,eran,normales,salvo,la,<,star,##t,>,got,<,end,>,8,##7,",",g,##p,##t,51,",",gamma,-,gt,6,##7,y,las,proteínas,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],mili,##metro,cub,##ico,[SEP],gluc,##orra,##quia,normal,",",prote,##ino,##r,##ra,##quia,de,102,mg,/,d,##l,",",9,##6,##0,células,/,<,star,##t,>,mm,##3,<,end,>,un,90,%,de,las,cuales,se,correspondía,##n,a,polin,##uc,##lear,##es,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],mili,##gram,##o,[SEP],examen,del,líquido,una,gluc,##orra,##quia,normal,",",prote,##ino,##r,##ra,##quia,de,102,<,star,##t,>,mg,<,end,>,d,##l,",",9,##6,##0,células,/,mm,##3,un,90,%,de,las,cuales,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],mili,##gram,##o,[SEP],totales,que,eran,de,5,",",8,g,/,d,##l,con,alb,##ú,##mina,de,1,.,4,##00,<,star,##t,>,mg,<,end,>,d,##l,.,el,elemental,de,orina,y,sedi,##mento,eran,normales,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],mili,##gram,##o,[SEP],fueron,también,ine,##s,##pec,##íf,##icas,.,el,paciente,mejoró,con,om,##ep,##ra,##zo,##l,4,##0,<,star,##t,>,mg,<,end,>,al,día,",",planta,##go,ov,##ata,y,anal,##g,##és,##icos,.,con,un,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],mili,##gram,##o,[SEP],hierro,por,anemia,ferro,##pé,##nica,",",planta,##go,ov,##ata,y,om,##ep,##ra,##zo,##l,20,<,star,##t,>,mg,<,end,>,al,día,.,en,octubre,de,200,##4,se,realizó,una,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],mili,##li,##tro,[SEP],los,dos,meses,el,valor,de,gas,##trina,era,52,##9,p,##g,/,<,star,##t,>,ml,<,end,>,el,paciente,no,accedió,a,hacerse,nuevas,explora,##ciones,y,mantuvo,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],mili,##li,##tro,[SEP],solicitó,una,determinación,de,gas,##trina,que,fue,:,8,##1,##7,p,##g,/,<,star,##t,>,ml,<,end,>,(,valor,normal,hasta,100,p,##g,/,ml,),.,las,biopsia,##s,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],mili,##li,##tro,[SEP],fue,:,8,##1,##7,p,##g,/,ml,(,valor,normal,hasta,100,p,##g,/,<,star,##t,>,ml,<,end,>,.,las,biopsia,##s,de,las,ú,##lc,##eras,del,du,##od,##eno,fueron,también,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],tomo,##graf,##ia,comput,##ari,##zada,[SEP],al,día,",",planta,##go,ov,##ata,y,anal,##g,##és,##icos,.,con,un,<,star,##t,>,tc,<,end,>,de,abdomen,se,confirmó,la,presencia,de,una,masa,de,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##ime,##tro,[SEP],desde,los,15,cm,de,margen,anal,a,los,35,<,star,##t,>,cm,<,end,>,con,pseudo,##pó,##li,##pos,y,fri,##abilidad,que,impresion,##aba,como,col,##itis,ul,##ceros,##a,.,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##ime,##tro,agua,[SEP],desde,los,15,cm,de,margen,anal,a,los,35,<,star,##t,>,cm,<,end,>,con,pseudo,##pó,##li,##pos,y,fri,##abilidad,que,impresion,##aba,como,col,##itis,ul,##ceros,##a,.,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##ime,##tro,[SEP],abdomen,se,confirmó,la,presencia,de,una,masa,de,3,<,star,##t,>,cm,<,end,>,en,cuerpo,-,cola,de,pá,##n,##cre,##as,vas,##cular,##izada,.,se,hizo,una,lap,##aro,##tomía,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##ime,##tro,agua,[SEP],abdomen,se,confirmó,la,presencia,de,una,masa,de,3,<,star,##t,>,cm,<,end,>,en,cuerpo,-,cola,de,pá,##n,##cre,##as,vas,##cular,##izada,.,se,hizo,una,lap,##aro,##tomía,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##ime,##tro,[SEP],que,fue,rese,##cada,.,el,examen,hist,##ológico,fue,:,21,<,star,##t,>,cm,<,end,>,de,colon,transvers,##o,con,una,zona,con,mu,##cosa,irregular,y,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##ime,##tro,agua,[SEP],que,fue,rese,##cada,.,el,examen,hist,##ológico,fue,:,21,<,star,##t,>,cm,<,end,>,de,colon,transvers,##o,con,una,zona,con,mu,##cosa,irregular,y,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##ime,##tro,[SEP],por,diarrea,que,demostró,una,col,##itis,seg,##mentar,##ia,desde,los,15,<,star,##t,>,cm,<,end,>,de,margen,anal,a,los,35,cm,con,pseudo,##pó,##li,##pos,y,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##ime,##tro,agua,[SEP],por,diarrea,que,demostró,una,col,##itis,seg,##mentar,##ia,desde,los,15,<,star,##t,>,cm,<,end,>,de,margen,anal,a,los,35,cm,con,pseudo,##pó,##li,##pos,y,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##ime,##tro,[SEP],:,pieza,de,colec,##tomía,con,una,ú,##lc,##era,extensa,de,6,",",5,<,star,##t,>,cm,<,end,>,con,bordes,sobre,##ele,##vados,que,pene,##traba,la,pared,del,colon,hasta,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##ime,##tro,agua,[SEP],:,pieza,de,colec,##tomía,con,una,ú,##lc,##era,extensa,de,6,",",5,<,star,##t,>,cm,<,end,>,con,bordes,sobre,##ele,##vados,que,pene,##traba,la,pared,del,colon,hasta,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##ime,##tro,[SEP],una,zona,con,mu,##cosa,irregular,y,aspecto,abiga,##r,##rado,de,7,<,star,##t,>,cm,<,end,>,de,extensión,",",áreas,de,ul,##cera,##ción,de,tipo,lineal,con,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##ime,##tro,agua,[SEP],una,zona,con,mu,##cosa,irregular,y,aspecto,abiga,##r,##rado,de,7,<,star,##t,>,cm,<,end,>,de,extensión,",",áreas,de,ul,##cera,##ción,de,tipo,lineal,con,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##ime,##tro,[SEP],.,la,colonos,##co,##pia,confirmó,que,la,ú,##lc,##era,se,exten,##día,3,<,star,##t,>,cm,<,end,>,en,el,recto,",",era,de,bordes,regulares,y,no,##dula,##res,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##ime,##tro,agua,[SEP],.,la,colonos,##co,##pia,confirmó,que,la,ú,##lc,##era,se,exten,##día,3,<,star,##t,>,cm,<,end,>,en,el,recto,",",era,de,bordes,regulares,y,no,##dula,##res,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],pico,##gram,##o,[SEP],que,fue,:,8,##1,##7,p,##g,/,ml,(,valor,normal,hasta,100,<,star,##t,>,p,##g,<,end,>,ml,),.,las,biopsia,##s,de,las,ú,##lc,##eras,del,du,##od,##eno,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],pico,##gram,##o,[SEP],se,solicitó,una,determinación,de,gas,##trina,que,fue,:,8,##1,##7,<,star,##t,>,p,##g,<,end,>,ml,(,valor,normal,hasta,100,p,##g,/,ml,),.,las,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],pico,##gram,##o,[SEP],a,los,dos,meses,el,valor,de,gas,##trina,era,52,##9,<,star,##t,>,p,##g,<,end,>,ml,.,el,paciente,no,accedió,a,hacerse,nuevas,explora,##ciones,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],pico,##gram,##o,[SEP],que,fue,:,8,##1,##7,p,##g,/,ml,(,valor,normal,hasta,100,<,star,##t,>,p,##g,<,end,>,ml,),.,las,biopsia,##s,de,las,ú,##lc,##eras,del,du,##od,##eno,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],pico,##gram,##o,[SEP],se,solicitó,una,determinación,de,gas,##trina,que,fue,:,8,##1,##7,<,star,##t,>,p,##g,<,end,>,ml,(,valor,normal,hasta,100,p,##g,/,ml,),.,las,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],pico,##gram,##o,[SEP],a,los,dos,meses,el,valor,de,gas,##trina,era,52,##9,<,star,##t,>,p,##g,<,end,>,ml,.,el,paciente,no,accedió,a,hacerse,nuevas,explora,##ciones,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],tomo,##graf,##ia,comput,##ari,##zada,[SEP],sin,infil,##trados,y,muestras,micro,##bio,##ló,##gicas,negativas,persistente,##mente,;,se,realiza,<,star,##t,>,tc,<,end,>,abdomin,##al,y,se,descar,##ta,complica,##ción,derivada,de,la,cirugía,.,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],ventil,##ac,##ion,mecan,##ica,[SEP],<,10,.,[UNK],/,[UNK],),.,se,mantiene,intu,##bada,y,conectada,a,<,star,##t,>,v,##m,<,end,>,7,días,durante,los,que,pers,##iste,la,fiebre,con,picos,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],ventil,##ac,##ion,mecan,##ica,[SEP],ventil,##ato,##rias,.,se,encuentra,sed,##oa,##nal,##ges,##iada,",",intu,##bada,y,conectada,a,<,star,##t,>,v,##m,<,end,>,a,nivel,radio,##ló,##gico,no,se,observan,infil,##trados,indicativo,##s,de,afecta,##ción,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],hiper,##tens,##ion,arterial,[SEP],trata,de,una,mujer,de,7,##0,años,con,antecedentes,de,<,star,##t,>,h,##ta,<,end,>,y,diagnostic,##ada,recientemente,de,neo,##plas,##ia,de,recto,bajo,",",tratada,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],unidad,cuidados,intens,##ivos,[SEP],terminada,2,meses,antes,de,la,cirugía,.,ingresa,en,<,star,##t,>,uci,<,end,>,tras,intervención,quirúr,##gica,(,ampu,##tación,abdomin,##op,##eri,##nea,##l,),por,sospecha,de,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],intraven,##oso,[SEP],virus,.,se,inicia,tratamiento,anti,##vira,##l,con,aci,##clo,##vir,10,##m,##g,/,kg,/,8,##h,<,star,##t,>,i,.,v,.,<,end,>,con,mejor,##ía,clínica,",",desaparición,de,la,fiebre,y,descon,##exión,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],hora,[SEP],her,##pes,virus,.,se,inicia,tratamiento,anti,##vira,##l,con,aci,##clo,##vir,10,##m,##g,/,kg,/,8,<,star,##t,>,h,<,end,>,i,.,v,.,con,mejor,##ía,clínica,",",desaparición,de,la,fiebre,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],horas,[SEP],her,##pes,virus,.,se,inicia,tratamiento,anti,##vira,##l,con,aci,##clo,##vir,10,##m,##g,/,kg,/,8,<,star,##t,>,h,<,end,>,i,.,v,.,con,mejor,##ía,clínica,",",desaparición,de,la,fiebre,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],micro,##gram,##o,[SEP],her,##pes,virus,.,se,inicia,tratamiento,anti,##vira,##l,con,aci,##clo,##vir,10,##m,##g,/,kg,/,8,<,star,##t,>,h,<,end,>,i,.,v,.,con,mejor,##ía,clínica,",",desaparición,de,la,fiebre,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],hora,[SEP],de,ex,##tu,##bación,",",se,la,tiene,que,rein,##tu,##bar,en,12,<,star,##t,>,h,<,end,>,por,fracaso,respira,##torio,.,nuevamente,comienza,con,fiebre,elevada,y,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],horas,[SEP],de,ex,##tu,##bación,",",se,la,tiene,que,rein,##tu,##bar,en,12,<,star,##t,>,h,<,end,>,por,fracaso,respira,##torio,.,nuevamente,comienza,con,fiebre,elevada,y,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],micro,##gram,##o,[SEP],de,ex,##tu,##bación,",",se,la,tiene,que,rein,##tu,##bar,en,12,<,star,##t,>,h,<,end,>,por,fracaso,respira,##torio,.,nuevamente,comienza,con,fiebre,elevada,y,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],hora,[SEP],lo,que,se,la,ex,##tu,##ba,sin,incidencia,##s,a,las,4,##8,<,star,##t,>,h,<,end,>,presenta,empeor,##amiento,progresivo,en,los,siguientes,2,días,a,nivel,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],horas,[SEP],lo,que,se,la,ex,##tu,##ba,sin,incidencia,##s,a,las,4,##8,<,star,##t,>,h,<,end,>,presenta,empeor,##amiento,progresivo,en,los,siguientes,2,días,a,nivel,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],micro,##gram,##o,[SEP],lo,que,se,la,ex,##tu,##ba,sin,incidencia,##s,a,las,4,##8,<,star,##t,>,h,<,end,>,presenta,empeor,##amiento,progresivo,en,los,siguientes,2,días,a,nivel,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],kilogra,##mo,[SEP],her,##pes,virus,.,se,inicia,tratamiento,anti,##vira,##l,con,aci,##clo,##vir,10,##m,##g,/,<,star,##t,>,kg,<,end,>,8,##h,i,.,v,.,con,mejor,##ía,clínica,",",desaparición,de,la,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##ime,##tro,[SEP],her,##pes,virus,.,se,inicia,tratamiento,anti,##vira,##l,con,aci,##clo,##vir,10,##m,##g,/,<,star,##t,>,kg,<,end,>,8,##h,i,.,v,.,con,mejor,##ía,clínica,",",desaparición,de,la,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],kilogra,##mo,s,[SEP],her,##pes,virus,.,se,inicia,tratamiento,anti,##vira,##l,con,aci,##clo,##vir,10,##m,##g,/,<,star,##t,>,kg,<,end,>,8,##h,i,.,v,.,con,mejor,##ía,clínica,",",desaparición,de,la,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],mili,##gram,##o,[SEP],her,##pes,virus,.,se,inicia,tratamiento,anti,##vira,##l,con,aci,##clo,##vir,10,<,star,##t,>,mg,<,end,>,kg,/,8,##h,i,.,v,.,con,mejor,##ía,clínica,",",desaparición,de,la,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],mili,##gram,##o,[SEP],destaca,reacción,inflam,##ato,##ria,importante,con,proteína,c,reactiv,##a,de,50,<,star,##t,>,mg,<,end,>,d,##l,sin,acompañar,##se,de,reacción,leuc,##oc,##itaria,(,<,10,.,[UNK],/,[UNK],),[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],virus,her,##pes,simple,1,[SEP],resultados,del,bal,",",en,los,que,se,consta,##ta,pc,##r,<,star,##t,>,v,##hs,-,1,<,end,>,positivo,precoz,(,test,cualita,##tivo,),y,",",a,nivel,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],bron,##cho,##al,##ve,##olar,lava,##ge,[SEP],que,se,realiza,fib,##ro,##bro,##n,##cos,##co,##pia,con,recogida,de,lavado,bron,##coa,##l,##ve,##olar,(,<,star,##t,>,bal,<,end,>,y,se,mandan,muestras,a,micro,##bio,##logía,(,cultivo,y,pc,##r,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],bron,##cho,##al,##ve,##olar,lava,##ge,[SEP],se,realiza,tra,##que,##ost,##omía,percu,##tán,##ea,y,se,reciben,los,resultados,del,<,star,##t,>,bal,<,end,>,en,los,que,se,consta,##ta,pc,##r,v,##hs,-,1,positivo,precoz,(,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[CLS],cent,##ime,##tro,[SEP],los,que,pers,##iste,la,fiebre,con,picos,mayores,de,39,##o,<,star,##t,>,c,<,end,>,con,mejor,##ía,radio,##ló,##gica,sin,infil,##trados,y,muestras,micro,##bio,##ló,##gicas,negativas,persistente,##mente,[SEP],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
