# Document_ID	Mention_A_type	Mention_A_StartOffset	Mention_A_EndOffset	Mention_A	Relation_type	Mention_B_type	Mention_B_StartOffset	Mention_B_EndOffset	Mention_B
S0365-66912005001200010-1	SHORT_FORM	413	415	OD	SHORT-LONG	LONG_FORM	400	411	ojo derecho
S0365-66912009001100006-1	SHORT_FORM	141	143	OD	SHORT-LONG	LONG_FORM	128	139	ojo derecho
S0365-66912004001000008-1	SHORT_FORM	124	126	OD	SHORT-LONG	LONG_FORM	111	122	ojo derecho
S0365-66912007001200011-1	SHORT_FORM	415	417	OD	SHORT-LONG	LONG_FORM	402	413	ojo derecho
S0365-66912006000500008-1	SHORT_FORM	333	335	OI	SHORT-LONG	LONG_FORM	318	331	ojo izquierdo
S0365-66912007000200011-1	SHORT_FORM	262	264	OI	SHORT-LONG	LONG_FORM	247	260	ojo izquierdo
S0365-66912012000800005-1	SHORT_FORM	131	133	OI	SHORT-LONG	LONG_FORM	116	129	ojo izquierdo
S0365-66912009001100005-1	SHORT_FORM	384	386	OI	SHORT-LONG	LONG_FORM	369	382	ojo izquierdo
S0365-66912006001200009-1	SHORT_FORM	310	312	OI	SHORT-LONG	LONG_FORM	295	308	ojo izquierdo
S0365-66912012000500005-1	SHORT_FORM	110	112	OI	SHORT-LONG	LONG_FORM	95	108	ojo izquierdo
S0365-66912005000600011-1	SHORT_FORM	122	124	OI	SHORT-LONG	LONG_FORM	107	120	ojo izquierdo
S0365-66912009000800005-1	SHORT_FORM	455	457	OI	SHORT-LONG	LONG_FORM	440	453	ojo izquierdo
S0365-66912012000200004-1	SHORT_FORM	107	109	OI	SHORT-LONG	LONG_FORM	92	105	ojo izquierdo
S0365-66912005001000011-1	SHORT_FORM	185	187	OI	SHORT-LONG	LONG_FORM	170	183	ojo izquierdo
S0365-66912006001200008-1	SHORT_FORM	173	175	OI	SHORT-LONG	LONG_FORM	158	171	ojo izquierdo
S0365-66912005001200010-1	SHORT_FORM	306	308	OI	SHORT-LONG	LONG_FORM	291	304	ojo izquierdo
S0365-66912009001100006-1	SHORT_FORM	179	181	OI	SHORT-LONG	LONG_FORM	164	177	ojo izquierdo
S0365-66912007001200011-1	SHORT_FORM	83	85	OI	SHORT-LONG	LONG_FORM	429	442	ojo izquierdo
S0365-66912006000500008-1	SHORT_FORM	398	400	AO	SHORT-LONG	LONG_FORM	386	396	ambos ojos
S0365-66912009001100005-1	SHORT_FORM	123	125	AO	SHORT-LONG	LONG_FORM	111	121	ambos ojos
S0365-66912012000500005-1	SHORT_FORM	702	704	AO	SHORT-LONG	LONG_FORM	690	700	ambos ojos
S1887-85712014000100005-1	SHORT_FORM	1199	1201	TC	SHORT-LONG	LONG_FORM	1173	1197	tomografía computerizada
S1130-05582010000200003-1	SHORT_FORM	1290	1292	TC	SHORT-LONG	LONG_FORM	1264	1288	tomografía computarizada
S0365-66912006000200012-1	SHORT_FORM	55	57	TC	SHORT-LONG	LONG_FORM	784	808	tomografía computarizada
S1130-01082009000400011-1	SHORT_FORM	689	691	TC	SHORT-LONG	LONG_FORM	663	687	tomografía computerizada
S1130-05582017000200119-1	SHORT_FORM	679	681	TC	SHORT-LONG	LONG_FORM	653	677	tomografía computarizada
S0365-66912009001100005-1	SHORT_FORM	797	799	TC	SHORT-LONG	LONG_FORM	771	795	tomografía computerizada
S0210-48062009000400017-1	SHORT_FORM	398	400	TC	SHORT-LONG	LONG_FORM	372	396	tomografía computarizada
S1130-01082011000500014-1	SHORT_FORM	739	741	TC	SHORT-LONG	LONG_FORM	713	737	tomografía computerizada
S1131-57682003000300008-1	SHORT_FORM	2042	2044	TC	SHORT-LONG	LONG_FORM	2014	2040	tomografía computadorizada
S0213-12852003000500002-1	SHORT_FORM	486	489	DTM	SHORT-LONG	LONG_FORM	454	484	desórdenes temporomandibulares
S0213-12852003000500002-1	SHORT_FORM	2145	2148	ECG	SHORT-LONG	LONG_FORM	2125	2143	electrocardiograma
S0210-56912006000600007-1	SHORT_FORM	2369	2372	ECG	SHORT-LONG	LONG_FORM	2349	2367	electrocardiograma
S1130-63432014000500008-1	SHORT_FORM	414	417	ECG	SHORT-LONG	LONG_FORM	394	412	electrocardiograma
S1139-76322015000500009-1	SHORT_FORM	1693	1696	ECG	SHORT-LONG	LONG_FORM	1673	1691	electrocardiograma
S1699-695X2015000200010-1	SHORT_FORM	822	824	BA	SHORT-LONG	LONG_FORM	803	820	balance articular
S1699-695X2015000200010-1	SHORT_FORM	1190	1192	BM	SHORT-LONG	LONG_FORM	1172	1188	balance muscular
S0465-546X2014000400012-1	SHORT_FORM	1164	1168	INSS	SHORT-LONG	LONG_FORM	1124	1162	Instituto Nacional de Seguridad Social
S0210-56912007000700008-1	SHORT_FORM	578	581	LDH	SHORT-LONG	LONG_FORM	555	576	lacticodeshidrogenasa
S0210-56912007000700008-1	SHORT_FORM	2070	2074	PEEP	SHORT-LONG	LONG_FORM	2034	2068	positiva al final de la espiración
S0376-78922009000400010-1	SHORT_FORM	280	283	RMN	SHORT-LONG	LONG_FORM	250	278	Resonancia Magnética Nuclear
S0365-66912006000200012-1	SHORT_FORM	895	898	RMN	SHORT-LONG	LONG_FORM	865	893	resonancia magnética nuclear
S0004-06142005001000011-1	SHORT_FORM	1715	1718	RMN	SHORT-LONG	LONG_FORM	1685	1713	resonancia magnética nuclear
S0365-66912006000100008-1	SHORT_FORM	303	306	RMN	SHORT-LONG	LONG_FORM	273	301	resonancia magnética nuclear
S1130-01082011000500014-1	SHORT_FORM	775	778	RMN	SHORT-LONG	LONG_FORM	745	773	resonancia magnética nuclear
S1889-836X2015000100003-1	SHORT_FORM	1946	1949	RMN	SHORT-LONG	LONG_FORM	1916	1944	resonancia magnética nuclear
S1139-76322015000300015-1	SHORT_FORM	953	956	PCR	SHORT-LONG	LONG_FORM	932	951	proteína C reactiva
S0212-16112010000100017-1	SHORT_FORM	1158	1161	PCR	SHORT-LONG	LONG_FORM	1137	1156	proteína C reactiva
S1130-01082009000700016-1	SHORT_FORM	1016	1019	PCR	SHORT-LONG	LONG_FORM	995	1014	proteína C reactiva
S1135-76062005000100002-1	SHORT_FORM	1068	1071	HSA	SHORT-LONG	LONG_FORM	1042	1066	hemorragia subaracnoidea
S0376-78922009000100014-1	SHORT_FORM	3821	3824	RNM	SHORT-LONG	LONG_FORM	3791	3819	Resonancia Nuclear Magnética
S0376-78922017000100008-1	SHORT_FORM	1037	1040	RNM	SHORT-LONG	LONG_FORM	1007	1035	resonancia nuclear magnética
S0210-48062006000400012-1	SHORT_FORM	931	934	RNM	SHORT-LONG	LONG_FORM	901	929	resonancia nuclear magnética
S1137-66272011000300023-1	SHORT_FORM	3913	3916	RNM	SHORT-LONG	LONG_FORM	3883	3911	resonancia nuclear magnética
S0365-66912006000900010-1	SHORT_FORM	671	674	RNM	SHORT-LONG	LONG_FORM	641	669	Resonancia Nuclear Magnética
S1130-63432014000200011-1	SHORT_FORM	2904	2907	EVA	SHORT-LONG	LONG_FORM	2879	2902	escala visual analógica
S0211-69952015000300011-1	SHORT_FORM	1613	1617	Afib	SHORT-LONG	LONG_FORM	1591	1611	alfa del fibrinógeno
S0211-69952015000300011-1	SHORT_FORM	1809	1815	apo AI	SHORT-LONG	LONG_FORM	1789	1807	apolipoproteína AI
S1137-66272015000300014-1	SHORT_FORM	326	330	VMNI	SHORT-LONG	LONG_FORM	292	324	ventilación mecánica no invasiva
S1137-66272015000300014-1	SHORT_FORM	2462	2465	TAP	SHORT-LONG	LONG_FORM	2435	2460	transabdominal percutáneo
S0212-16112013000300055-1	SHORT_FORM	262	264	CU	SHORT-LONG	LONG_FORM	244	260	Colitis Ulcerosa
S0465-546X2009000300008-1	SHORT_FORM	633	637	SPRL	SHORT-LONG	LONG_FORM	588	631	Servicio de Prevención de Riesgos Laborales
S1130-01082009000400014-1	SHORT_FORM	476	479	NPT	SHORT-LONG	LONG_FORM	454	474	nutrición parenteral
S0365-66912010001200005-1	SHORT_FORM	271	275	AVSC	SHORT-LONG	LONG_FORM	240	269	agudeza visual sin corrección
S0365-66912010001200005-1	SHORT_FORM	543	545	DP	SHORT-LONG	LONG_FORM	522	541	diámetros papilares
S0365-66912010001200005-1	SHORT_FORM	794	797	AGF	SHORT-LONG	LONG_FORM	766	792	angiografía fluoresceínica
S0365-66912007000200011-1	SHORT_FORM	658	661	AGF	SHORT-LONG	LONG_FORM	630	656	angiografía fluoresceínica
S0365-66912009000300010-1	SHORT_FORM	649	652	AGF	SHORT-LONG	LONG_FORM	621	647	angiografía fluoresceínica
S0365-66912010001200005-1	SHORT_FORM	1488	1492	DRNS	SHORT-LONG	LONG_FORM	1462	1486	de retina neurosensorial
S1139-13752009000200010-1	SHORT_FORM	1033	1040	CellCe®	SHORT-LONG	LONG_FORM	957	1031	clínica y en la actualidad recibe tratamiento oral de micofenolato-mofetil
S0376-78922011000500005-1	SHORT_FORM	127	131	EPOC	SHORT-LONG	LONG_FORM	86	125	enfermedad pulmonar obstructiva crónica
S0376-78922011000500005-1	SHORT_FORM	2548	2552	VIA®	SHORT-LONG	LONG_FORM	2512	2546	VAC® portátil de última generación
S1887-85712015000100005-1	SHORT_FORM	1667	1670	PNJ	SHORT-LONG	LONG_FORM	1644	1665	pneumocystis jiroveci
S1139-76322015000100010-1	SHORT_FORM	895	898	ANA	SHORT-LONG	LONG_FORM	880	893	antinucleares
S1139-76322015000100010-1	SHORT_FORM	985	989	ANCA	SHORT-LONG	LONG_FORM	954	983	anticitoplasma de neutrófilos
S0365-66912006000200012-1	SHORT_FORM	636	640	DPAR	SHORT-LONG	LONG_FORM	601	634	defecto pupilar aferente relativo
S0365-66912006000200012-1	SHORT_FORM	1704	1707	NOT	SHORT-LONG	LONG_FORM	1674	1702	neuropatía óptica traumática
S0365-66912005001100009-1	SHORT_FORM	1093	1096	PIO	SHORT-LONG	LONG_FORM	358	377	presión intraocular
S0365-66912011000900005-1	SHORT_FORM	817	820	PIO	SHORT-LONG	LONG_FORM	796	815	presión intraocular
S0365-66912012000800005-1	SHORT_FORM	340	343	PIO	SHORT-LONG	LONG_FORM	319	338	presión intraocular
S0365-66912012000500005-1	SHORT_FORM	330	333	PIO	SHORT-LONG	LONG_FORM	309	328	presión intraocular
S0365-66912009001100006-1	SHORT_FORM	106	109	PIO	SHORT-LONG	LONG_FORM	85	104	presión intraocular
S0210-56912006000600007-1	SHORT_FORM	381	383	CD	SHORT-LONG	LONG_FORM	362	379	coronaria derecha
S0210-56912006000600007-1	SHORT_FORM	419	421	DA	SHORT-LONG	LONG_FORM	397	417	descendente anterior
S0210-56912006000600007-1	SHORT_FORM	1585	1588	TAM	SHORT-LONG	LONG_FORM	1561	1583	tensión arterial media
S0210-56912006000600007-1	SHORT_FORM	1781	1783	GC	SHORT-LONG	LONG_FORM	1765	1779	gasto cardíaco
S0210-56912006000600007-1	SHORT_FORM	3572	3575	RVS	SHORT-LONG	LONG_FORM	3537	3570	resistencias vasculares sistémica
S1139-76322011000100011-1	SHORT_FORM	568	570	Ca	SHORT-LONG	LONG_FORM	560	566	calcio
S1139-76322011000100011-1	SHORT_FORM	2036	2040	HTBI	SHORT-LONG	LONG_FORM	1982	2034	hiperfosfatasemia benigna transitoria de la infancia
S1889-836X2015000200005-1	SHORT_FORM	781	784	TCS	SHORT-LONG	LONG_FORM	754	779	tejido celular subcutáneo
S0376-78922017000100008-1	SHORT_FORM	1000	1003	TAC	SHORT-LONG	LONG_FORM	968	998	tomografía axial computarizada
S1130-01082007001200012-1	SHORT_FORM	407	410	TAC	SHORT-LONG	LONG_FORM	373	405	tomografía axial computadorizada
S0378-48352006000300005-1	SHORT_FORM	665	668	TAC	SHORT-LONG	LONG_FORM	633	663	tomografía axial computerizada
S0210-56912006000800008-1	SHORT_FORM	1060	1063	TAC	SHORT-LONG	LONG_FORM	1028	1058	tomografía axial computarizada
S0376-78922009000100011-1	SHORT_FORM	2215	2218	TAC	SHORT-LONG	LONG_FORM	2183	2213	Tomografía Axial Computerizada
S1130-05582013000400005-1	SHORT_FORM	346	349	TAC	SHORT-LONG	LONG_FORM	314	344	tomografía axial computarizada
S1130-01082008000800009-1	SHORT_FORM	1363	1366	TAC	SHORT-LONG	LONG_FORM	1331	1361	tomografía axial computerizada
S1130-05582009000600006-1	SHORT_FORM	891	894	TAC	SHORT-LONG	LONG_FORM	865	889	tomografía computerizada
S1137-66272011000300023-1	SHORT_FORM	3397	3400	TAC	SHORT-LONG	LONG_FORM	3365	3395	tomografía axial computarizada
S0365-66912012000200004-1	SHORT_FORM	2190	2193	TAC	SHORT-LONG	LONG_FORM	2158	2188	tomografía axial computarizada
S0365-66912004001000008-1	SHORT_FORM	885	888	TAC	SHORT-LONG	LONG_FORM	853	883	Tomografia Axial Computarizada
S1889-836X2015000100003-1	SHORT_FORM	1897	1900	TAC	SHORT-LONG	LONG_FORM	1865	1895	tomografía axial computarizada
S0212-16112007000600015-1	SHORT_FORM	961	964	GER	SHORT-LONG	LONG_FORM	933	959	Gasto Energético en Reposo
S1139-76322017000200007-1	SHORT_FORM	1121	1124	VEB	SHORT-LONG	LONG_FORM	1098	1119	virus de Epstein-Barr
S1137-66272011000300023-1	SHORT_FORM	4361	4364	VEB	SHORT-LONG	LONG_FORM	4338	4359	virus de Epstein Barr
S1139-76322017000200007-1	SHORT_FORM	1145	1148	CMV	SHORT-LONG	LONG_FORM	1128	1143	citomegalovirus
S1137-66272011000300023-1	SHORT_FORM	4384	4387	CMV	SHORT-LONG	LONG_FORM	4367	4382	Citomegalovirus
S1139-76322012000300006-2	SHORT_FORM	1501	1504	CMV	SHORT-LONG	LONG_FORM	1484	1499	citomegalovirus
S1139-76322017000200007-1	SHORT_FORM	1243	1246	VSG	SHORT-LONG	LONG_FORM	1206	1241	velocidad de sedimentación globular
S0365-66912009000800005-1	SHORT_FORM	991	994	VSG	SHORT-LONG	LONG_FORM	954	989	velocidad de sedimentación globular
S1139-76322017000200007-1	SHORT_FORM	1300	1304	IGRA	SHORT-LONG	LONG_FORM	1267	1298	interferon-gamma release assays
S1139-76322017000200007-1	SHORT_FORM	1433	1437	PAAF	SHORT-LONG	LONG_FORM	1398	1431	punción aspiración con aguja fina
S1130-01082007001200012-1	SHORT_FORM	912	916	PAAF	SHORT-LONG	LONG_FORM	877	910	punción aspiración con aguja fina
S1130-05582017000200119-1	SHORT_FORM	345	349	PAAF	SHORT-LONG	LONG_FORM	310	343	punción-aspiración con aguja fina
S0378-48352006000300005-1	SHORT_FORM	1330	1334	PAAF	SHORT-LONG	LONG_FORM	1295	1328	punción-aspiración con aguja fina
S1130-05582012000300005-1	SHORT_FORM	1006	1010	PAAF	SHORT-LONG	LONG_FORM	971	1004	punción-aspiración con aguja fina
S0365-66912007000200011-1	SHORT_FORM	99	102	TFD	SHORT-LONG	LONG_FORM	61	97	terapia fotodinámica con Verteporfin
S0365-66912007000200011-1	SHORT_FORM	830	833	AVI	SHORT-LONG	LONG_FORM	792	828	angiografía con verde de indocianina
S1699-695X2016000200009-1	SHORT_FORM	268	272	MMII	SHORT-LONG	LONG_FORM	247	266	miembros inferiores
S1699-695X2015000300010-1	SHORT_FORM	1014	1018	MMII	SHORT-LONG	LONG_FORM	125	144	miembros inferiores
S1699-695X2016000200009-1	SHORT_FORM	1469	1471	RM	SHORT-LONG	LONG_FORM	1447	1467	resonancia magnética
S0211-69952016000300015-1	SHORT_FORM	237	239	RM	SHORT-LONG	LONG_FORM	215	235	resonancia magnética
S1134-80462009000500006-1	SHORT_FORM	1528	1530	RM	SHORT-LONG	LONG_FORM	1506	1526	resonancia magnética
S1130-05582012000300005-1	SHORT_FORM	789	791	RM	SHORT-LONG	LONG_FORM	767	787	resonancia magnética
S0376-78922016000200011-1	SHORT_FORM	1069	1071	RM	SHORT-LONG	LONG_FORM	1047	1067	resonancia magnética
S0210-48062009000400017-1	SHORT_FORM	1137	1139	RM	SHORT-LONG	LONG_FORM	1115	1135	resonancia magnética
S0210-56912008000400007-3	SHORT_FORM	331	334	TAS	SHORT-LONG	LONG_FORM	303	329	tensión arterial sistólica
S0210-48062010000100019-4	SHORT_FORM	1081	1083	AA	SHORT-LONG	LONG_FORM	1060	1079	amiloidosis vesical
S0212-16112010000100017-1	SHORT_FORM	683	686	COL	SHORT-LONG	LONG_FORM	671	681	colesterol
S0212-16112010000100017-1	SHORT_FORM	713	715	TG	SHORT-LONG	LONG_FORM	698	711	triglicéridos
S0212-16112010000100017-1	SHORT_FORM	2064	2066	NP	SHORT-LONG	LONG_FORM	2042	2062	nutrición parenteral
S0212-16112010000100017-1	SHORT_FORM	3485	3487	NE	SHORT-LONG	LONG_FORM	3466	3483	nutrición enteral
S1130-01082007001100012-1	SHORT_FORM	462	464	NE	SHORT-LONG	LONG_FORM	443	460	nutrición enteral
S0211-69952016000300015-1	SHORT_FORM	2578	2587	Replagal®	SHORT-LONG	LONG_FORM	2538	2576	reemplazo hormonal con agalsidasa alfa
S0378-48352006000300005-1	SHORT_FORM	1432	1435	LNH	SHORT-LONG	LONG_FORM	1412	1430	linfoma no Hodgkin
S0378-48352006000300005-1	SHORT_FORM	1554	1559	LLBCP	SHORT-LONG	LONG_FORM	1511	1552	Linfoma linfocítico B de células pequeñas
S0378-48352006000300005-1	SHORT_FORM	2360	2363	LPP	SHORT-LONG	LONG_FORM	2333	2358	linfoma pulmonar primario
S0378-48352006000300005-1	SHORT_FORM	3591	3595	RPMB	SHORT-LONG	LONG_FORM	3563	3589	remisión parcial muy buena
S0365-66912011000900005-1	SHORT_FORM	512	514	FO	SHORT-LONG	LONG_FORM	498	510	fondo de ojo
S0365-66912012000500005-1	SHORT_FORM	451	453	FO	SHORT-LONG	LONG_FORM	437	449	fondo de ojo
S0004-06142006000600015-1	SHORT_FORM	828	831	FAV	SHORT-LONG	LONG_FORM	805	826	fístula arteriovenosa
S1698-69462006000300015-1	SHORT_FORM	447	450	ATM	SHORT-LONG	LONG_FORM	415	445	articulación temporomandibular
S0376-78922007000400008-1	SHORT_FORM	1667	1670	MID	SHORT-LONG	LONG_FORM	1641	1665	miembro inferior derecho
S0376-78922007000400008-1	SHORT_FORM	2287	2290	UCI	SHORT-LONG	LONG_FORM	2256	2285	Unidad de Cuidados Intensivos
S0210-56912006000800008-1	SHORT_FORM	2099	2102	UCI	SHORT-LONG	LONG_FORM	2068	2097	Unidad de Cuidados Intensivos
S0376-78922009000400002-1	SHORT_FORM	651	654	UCI	SHORT-LONG	LONG_FORM	620	649	Unidad de Cuidados Intensivos
S0211-69952011000500011-1	SHORT_FORM	999	1002	UCI	SHORT-LONG	LONG_FORM	968	997	unidad de cuidados intensivos
S0376-78922011000500012-1	SHORT_FORM	260	263	UCI	SHORT-LONG	LONG_FORM	229	258	Unidad de Cuidados Intensivos
S1130-01082009000700016-1	SHORT_FORM	731	734	UCI	SHORT-LONG	LONG_FORM	700	729	Unidad de Cuidados Intensivos
S1139-76322013000400008-1	SHORT_FORM	1207	1211	ASLO	SHORT-LONG	LONG_FORM	1185	1205	antiestreptolisina O
S0004-06142005001000011-1	SHORT_FORM	1455	1459	EEII	SHORT-LONG	LONG_FORM	1430	1453	extremidades inferiores
S0004-06142005001000011-1	SHORT_FORM	1626	1629	ROT	SHORT-LONG	LONG_FORM	1600	1624	reflejos osteotendinosos
S1699-695X2015000300010-1	SHORT_FORM	1189	1192	ROT	SHORT-LONG	LONG_FORM	1164	1187	Reflejo osteo-tendinoso
S0004-06142005001000011-1	SHORT_FORM	1663	1666	RCP	SHORT-LONG	LONG_FORM	1639	1661	reflejo cutaneoplantar
S0004-06142005001000011-1	SHORT_FORM	1808	1811	LCR	SHORT-LONG	LONG_FORM	1783	1806	líquido cefalorraquídeo
S0210-56912007000200007-3	SHORT_FORM	1567	1570	FMO	SHORT-LONG	LONG_FORM	1544	1565	fracaso multiorgánico
S0211-69952009000600023-1	SHORT_FORM	178	182	HPTS	SHORT-LONG	LONG_FORM	146	176	hiperparatiroidismo secundario
S0365-66912009000300010-1	SHORT_FORM	1538	1546	angioRMN	SHORT-LONG	LONG_FORM	1502	1536	angiorresonancia magnética nuclear
S0365-66912012000500005-1	SHORT_FORM	247	251	MAVC	SHORT-LONG	LONG_FORM	215	245	mejor agudeza visual corregida
S0365-66912012000500005-1	SHORT_FORM	356	359	BMC	SHORT-LONG	LONG_FORM	340	354	biomicroscopia
S0365-66912012000500005-1	SHORT_FORM	656	658	EA	SHORT-LONG	LONG_FORM	637	654	estrías angioides
S0365-66912012000500005-1	SHORT_FORM	1377	1380	EPR	SHORT-LONG	LONG_FORM	1345	1375	epitelio pigmentario retiniano
S0004-06142006000700014-1	SHORT_FORM	926	929	CEA	SHORT-LONG	LONG_FORM	905	924	Carcino Embrionario
S0212-16112014000200032-3	SHORT_FORM	284	286	kg	SHORT-LONG	LONG_FORM	272	282	kilogramos
S0365-66912005000600011-1	SHORT_FORM	612	615	BPA	SHORT-LONG	LONG_FORM	596	610	biomicroscopía
S0365-66912005000600011-1	SHORT_FORM	1156	1159	IgG	SHORT-LONG	LONG_FORM	1137	1154	Inmunoglobulina G
S1137-66272011000300023-1	SHORT_FORM	4411	4414	VHS	SHORT-LONG	LONG_FORM	4390	4409	virus Herpes simple
S1137-66272011000300023-1	SHORT_FORM	4441	4444	VVZ	SHORT-LONG	LONG_FORM	4418	4439	virus Varicela zóster
S1134-80462004000600007-1	SHORT_FORM	2136	2139	A-P	SHORT-LONG	LONG_FORM	2118	2134	antero-posterior
S0211-69952011000500011-1	SHORT_FORM	1319	1321	Cr	SHORT-LONG	LONG_FORM	675	685	creatinina
S1139-76322015000500009-1	SHORT_FORM	1617	1620	EMG	SHORT-LONG	LONG_FORM	1599	1615	electromiografía
S1699-695X2015000300010-1	SHORT_FORM	1761	1764	EMG	SHORT-LONG	LONG_FORM	1744	1759	electromiograma
S1699-695X2015000100013-1	SHORT_FORM	71	73	AP	SHORT-LONG	LONG_FORM	52	69	Atención primaria
S1699-695X2015000100013-1	SHORT_FORM	2026	2029	PRC	SHORT-LONG	LONG_FORM	1989	2024	Programa de Rehabilitación Cardiaca
S1699-695X2015000300010-1	SHORT_FORM	813	816	ELA	SHORT-LONG	LONG_FORM	781	811	Esclerosis lateral amiotrófica
S1699-695X2015000300010-1	SHORT_FORM	1788	1791	ENG	SHORT-LONG	LONG_FORM	1768	1786	electroneurografía
S1699-695X2015000300010-1	SHORT_FORM	2503	2507	MMSS	SHORT-LONG	LONG_FORM	1121	1140	miembros superiores
S1130-63432013000300013-1	SHORT_FORM	458	460	Hb	SHORT-LONG	LONG_FORM	445	456	hemoglobina
S1139-76322009000100006-1	SHORT_FORM	252	255	ppm	SHORT-LONG	LONG_FORM	755	777	pulsaciones por minuto
S1139-76322009000100006-1	SHORT_FORM	1169	1171	IV	SHORT-LONG	LONG_FORM	1156	1167	intravenoso
S0210-48062009000400017-1	SHORT_FORM	439	441	IV	SHORT-LONG	LONG_FORM	426	437	intravenoso
S1139-76322009000100006-1	SHORT_FORM	1940	1944	UCIP	SHORT-LONG	LONG_FORM	1898	1938	Unidad de Cuidados Intensivos pediátrica
S1130-63432014000100012-1	SHORT_FORM	638	640	iv	SHORT-LONG	LONG_FORM	1042	1053	intravenoso
S1130-63432014000100012-1	SHORT_FORM	2358	2361	LBA	SHORT-LONG	LONG_FORM	2335	2356	lavado broncoalveolar
S1130-01082007001100010-1	SHORT_FORM	429	434	13 cm	SHORT-LONG	LONG_FORM	368	427	13 mm y un bazo homogéneo discretamente aumentado de tamaño
S1134-80462006000600005-1	SHORT_FORM	1062	1065	LLA	SHORT-LONG	LONG_FORM	1041	1060	linfoblástica aguda
S1130-05582007000600003-1	SHORT_FORM	686	691	TVTLF	SHORT-LONG	LONG_FORM	654	684	tronco venoso tirolinguofacial
S1130-01082009000200012-1	SHORT_FORM	247	249	CT	SHORT-LONG	LONG_FORM	232	245	computerizada
S1130-05582014000400006-1	SHORT_FORM	526	534	CBMF-HGO	SHORT-LONG	LONG_FORM	435	524	"Cirugía Bucal y Maxilofacial del Hospital General del Oeste ""Dr. José Gregorio Hernández"""
S0365-66912005001200010-1	SHORT_FORM	789	791	NO	SHORT-LONG	LONG_FORM	774	787	nervio óptico
S0365-66912009001100006-1	SHORT_FORM	504	507	BMU	SHORT-LONG	LONG_FORM	476	502	biomicroscopía ultrasónica
S0210-48062009000400017-1	SHORT_FORM	61	64	RTU	SHORT-LONG	LONG_FORM	37	59	resección transuretral
S0210-48062004000900010-1	SHORT_FORM	133	136	TBC	SHORT-LONG	LONG_FORM	119	131	tuberculosis
S1137-66272012000300023-1	SHORT_FORM	1685	1688	ECE	SHORT-LONG	LONG_FORM	1647	1683	enteroscopia con cápsula endoscópica
S0365-66912004001000008-1	SHORT_FORM	450	452	CA	SHORT-LONG	LONG_FORM	433	448	cámara anterior
S1137-66272016000200010-1	SHORT_FORM	235	239	TSOH	SHORT-LONG	LONG_FORM	203	233	test de sangre oculta en heces
S1137-66272014000100019-1	SHORT_FORM	1032	1035	HQR	SHORT-LONG	LONG_FORM	999	1030	hamartoma quístico retrorrectal
S1131-57682003000300008-1	SHORT_FORM	293	295	TB	SHORT-LONG	LONG_FORM	279	291	tuberculosis
