# Document_ID	Mention_A_type	Mention_A_StartOffset	Mention_A_EndOffset	Mention_A	Relation_type	Mention_B_type	Mention_B_StartOffset	Mention_B_EndOffset	Mention_B
S0210-56912006000600007-1	SHORT_FORM	3572	3575	RVS	SHORT-NESTED	NESTED	3561	3570	sistémica
S0210-56912006000600007-1	SHORT_FORM	3589	3592	RVP	SHORT-NESTED	NESTED	3579	3587	pulmonar
S0210-56912006000600007-1	NESTED	3579	3587	pulmonar	NESTED-LONG	LONG_FORM	3537	3560	resistencias vasculares
S0210-56912006000600007-1	NESTED	3561	3570	sistémica	NESTED-LONG	LONG_FORM	3537	3560	resistencias vasculares
S0210-56912006000600007-1	NESTED	1807	1813	índice	NESTED-LONG	LONG_FORM	1771	1779	cardíaco
S0210-56912006000600007-1	SHORT_FORM	1815	1817	IC	SHORT-NESTED	NESTED	1807	1813	índice
S0210-56912006000600007-1	SHORT_FORM	509	511	CX	SHORT-LONG	LONG_FORM	496	507	circunfleja
S0210-48062010000100019-4	SHORT_FORM	1081	1083	AA	SHORT-LONG	LONG_FORM	1060	1079	amiloidosis vesical
S0004-06142006000700014-1	SHORT_FORM	926	929	CEA	SHORT-LONG	LONG_FORM	896	924	Antígeno Carcino Embrionario
S0210-48062010000100019-3	SHORT_FORM	1270	1272	AA	SHORT-LONG	LONG_FORM	1251	1268	depósito amiloide
S1130-01082009001000013-1	SHORT_FORM	1142	1145	APC	SHORT-LONG	LONG_FORM	1128	1140	argón plasma
S0365-66912005001100009-1	SHORT_FORM	1093	1096	PIO	SHORT-LONG	LONG_FORM	1072	1091	presión intraocular
S1130-63432013000300013-1	SHORT_FORM	458	460	Hb	SHORT-LONG	LONG_FORM	445	456	hemoglobina
S1130-01082007001200012-1	SHORT_FORM	912	916	PAAF	SHORT-LONG	LONG_FORM	877	910	punción aspiración con aguja fina
S1130-01082007001200012-1	SHORT_FORM	407	410	TAC	SHORT-LONG	LONG_FORM	373	405	tomografía axial computadorizada
S0365-66912011000400005-2	SHORT_FORM	128	136	anti-CCP	SHORT-LONG	LONG_FORM	83	126	anticuerpos antipéptido cíclico citrulinado
S1130-63432014000400015-1	SHORT_FORM	192	195	Crs	SHORT-LONG	LONG_FORM	173	190	creatinina sérica
S0212-71992003000500006-1	SHORT_FORM	1385	1388	TPO	SHORT-LONG	LONG_FORM	1394	1404	peroxidasa
S0212-71992003000500006-1	SHORT_FORM	1342	1345	TGB	SHORT-LONG	LONG_FORM	1351	1364	tiroglobulina
S0004-06142005001000011-1	SHORT_FORM	1626	1629	ROT	SHORT-LONG	LONG_FORM	1600	1624	reflejos osteotendinosos
S0004-06142005001000011-1	SHORT_FORM	1663	1666	RCP	SHORT-LONG	LONG_FORM	1639	1661	reflejo cutaneoplantar
S0004-06142005001000011-1	SHORT_FORM	1808	1811	LCR	SHORT-LONG	LONG_FORM	1783	1806	líquido cefalorraquídeo
S0004-06142005001000011-1	SHORT_FORM	2012	2015	PCR	SHORT-LONG	LONG_FORM	1975	2010	reacción en cadena de la polimerasa
S0004-06142005001000011-1	SHORT_FORM	1715	1718	RMN	SHORT-LONG	LONG_FORM	1685	1713	resonancia magnética nuclear
S0004-06142005001000011-1	SHORT_FORM	2207	2210	TSP	SHORT-LONG	LONG_FORM	2175	2205	paraparesia espástica tropical
S0004-06142005001000011-1	SHORT_FORM	1455	1459	EEII	SHORT-LONG	LONG_FORM	1430	1453	extremidades inferiores
S1130-01082009000400011-1	SHORT_FORM	689	691	TC	SHORT-LONG	LONG_FORM	663	687	tomografía computerizada
S1130-63432014000200011-1	SHORT_FORM	2904	2907	EVA	SHORT-LONG	LONG_FORM	2879	2902	escala visual analógica
S1130-63432014000200011-1	SHORT_FORM	987	990	CVP	SHORT-LONG	LONG_FORM	992	1032	ciclofosfamida, vincristina y prednisona
S0213-12852003000500002-1	SHORT_FORM	2145	2148	ECG	SHORT-LONG	LONG_FORM	2125	2143	electrocardiograma
S0213-12852003000500002-1	SHORT_FORM	486	489	DTM	SHORT-LONG	LONG_FORM	454	484	desórdenes temporomandibulares
S1130-63432014000100012-1	SHORT_FORM	2358	2361	LBA	SHORT-LONG	LONG_FORM	2335	2356	lavado broncoalveolar
S1130-63432014000100012-1	SHORT_FORM	5921	5925	ECMO	SHORT-LONG	LONG_FORM	5881	5919	Oxigenación con Membrana Extracorpórea
S1130-63432014000100012-1	SHORT_FORM	1055	1057	iv	SHORT-LONG	LONG_FORM	1042	1053	intravenoso
S1139-76322013000400008-1	SHORT_FORM	1207	1211	ASLO	SHORT-LONG	LONG_FORM	1173	1205	anticuerpos antiestreptolisina O
S1130-01082008000800009-1	SHORT_FORM	1363	1366	TAC	SHORT-LONG	LONG_FORM	1331	1361	tomografía axial computerizada
S0004-06142006000600015-1	SHORT_FORM	828	831	FAV	SHORT-LONG	LONG_FORM	805	826	fístula arteriovenosa
S1130-01082009000700016-1	SHORT_FORM	1016	1019	PCR	SHORT-LONG	LONG_FORM	995	1014	proteína C reactiva
S1130-01082009000700016-1	SHORT_FORM	731	734	UCI	SHORT-LONG	LONG_FORM	700	729	Unidad de Cuidados Intensivos
S1137-66272012000300023-1	SHORT_FORM	1685	1688	ECE	SHORT-LONG	LONG_FORM	1647	1683	enteroscopia con cápsula endoscópica
S1137-66272015000300014-1	SHORT_FORM	326	330	VMNI	SHORT-LONG	LONG_FORM	292	324	ventilación mecánica no invasiva
S1137-66272015000300014-1	SHORT_FORM	2462	2465	TAP	SHORT-LONG	LONG_FORM	2435	2460	transabdominal percutáneo
S1137-66272015000300014-1	SHORT_FORM	182	191	DM tipo I	SHORT-LONG	LONG_FORM	154	180	distrofia miotónica tipo I
S0465-546X2009000300008-1	SHORT_FORM	633	637	SPRL	SHORT-LONG	LONG_FORM	588	631	Servicio de Prevención de Riesgos Laborales
S0465-546X2009000300008-1	SHORT_FORM	2068	2072	MIRU	SHORT-LONG	LONG_FORM	2074	2117	Mycobacterial interspersed repetitive units
S0376-78922007000400008-1	SHORT_FORM	2287	2290	UCI	SHORT-LONG	LONG_FORM	2256	2285	Unidad de Cuidados Intensivos
S0376-78922007000400008-1	SHORT_FORM	1667	1670	MID	SHORT-LONG	LONG_FORM	1641	1665	miembro inferior derecho
S1137-66272011000300023-1	SHORT_FORM	3913	3916	RNM	SHORT-LONG	LONG_FORM	3883	3911	resonancia nuclear magnética
S1137-66272011000300023-1	SHORT_FORM	4361	4364	VEB	SHORT-LONG	LONG_FORM	4338	4359	virus de Epstein Barr
S1137-66272011000300023-1	SHORT_FORM	4384	4387	CMV	SHORT-LONG	LONG_FORM	4367	4382	Citomegalovirus
S1137-66272011000300023-1	SHORT_FORM	4411	4414	VHS	SHORT-LONG	LONG_FORM	4390	4409	virus Herpes simple
S1137-66272011000300023-1	SHORT_FORM	4441	4444	VVZ	SHORT-LONG	LONG_FORM	4418	4439	virus Varicela zóster
S1137-66272011000300023-1	SHORT_FORM	3397	3400	TAC	SHORT-LONG	LONG_FORM	3365	3395	tomografía axial computarizada
S0465-546X2014000400012-1	SHORT_FORM	1164	1168	INSS	SHORT-LONG	LONG_FORM	1124	1162	Instituto Nacional de Seguridad Social
S0212-16112007000600015-1	SHORT_FORM	961	964	GER	SHORT-LONG	LONG_FORM	933	959	Gasto Energético en Reposo
S0212-16112014000200032-3	SHORT_FORM	284	286	kg	SHORT-LONG	LONG_FORM	272	282	kilogramos
S0211-69952009000600023-1	SHORT_FORM	178	182	HPTS	SHORT-LONG	LONG_FORM	146	176	hiperparatiroidismo secundario
S0376-78922017000100008-1	SHORT_FORM	1037	1040	RNM	SHORT-LONG	LONG_FORM	1007	1035	resonancia nuclear magnética
S0376-78922017000100008-1	SHORT_FORM	1000	1003	TAC	SHORT-LONG	LONG_FORM	968	998	tomografía axial computarizada
S0210-56912006000800008-1	SHORT_FORM	2099	2102	UCI	SHORT-LONG	LONG_FORM	2068	2097	Unidad de Cuidados Intensivos
S0210-56912006000800008-1	SHORT_FORM	1060	1063	TAC	SHORT-LONG	LONG_FORM	1028	1058	tomografía axial computarizada
S1139-76322015000300015-1	SHORT_FORM	953	956	PCR	SHORT-LONG	LONG_FORM	932	951	proteína C reactiva
S0365-66912011000900005-1	SHORT_FORM	817	820	PIO	SHORT-LONG	LONG_FORM	796	815	presión intraocular
S0365-66912011000900005-1	SHORT_FORM	512	514	FO	SHORT-LONG	LONG_FORM	498	510	fondo de ojo
S0212-16112010000100017-1	SHORT_FORM	713	715	TG	SHORT-LONG	LONG_FORM	698	711	triglicéridos
S0212-16112010000100017-1	SHORT_FORM	1158	1161	PCR	SHORT-LONG	LONG_FORM	1137	1156	proteína C reactiva
S0212-16112010000100017-1	SHORT_FORM	2064	2066	NP	SHORT-LONG	LONG_FORM	2042	2062	nutrición parenteral
S0212-16112010000100017-1	SHORT_FORM	3485	3487	NE	SHORT-LONG	LONG_FORM	3466	3483	nutrición enteral
S0212-16112010000100017-1	SHORT_FORM	4585	4588	AGE	SHORT-LONG	LONG_FORM	4559	4583	ácidos grasos esenciales
S0212-16112010000100017-1	SHORT_FORM	683	686	COL	SHORT-LONG	LONG_FORM	671	681	colesterol
S0365-66912012000800005-1	SHORT_FORM	193	195	OD	SHORT-LONG	LONG_FORM	180	191	ojo derecho
S0365-66912012000800005-1	SHORT_FORM	340	343	PIO	SHORT-LONG	LONG_FORM	319	338	presión intraocular
S0365-66912012000800005-1	SHORT_FORM	901	904	OCT	SHORT-LONG	LONG_FORM	868	899	tomografía de coherencia óptica
S0365-66912012000800005-1	SHORT_FORM	131	133	OI	SHORT-LONG	LONG_FORM	116	129	ojo izquierdo
S0211-69952012000700031-1	SHORT_FORM	1522	1525	TGP	SHORT-LONG	LONG_FORM	1489	1520	transaminasa glutámico-pirúvica
S0211-69952012000700031-1	SHORT_FORM	1475	1478	TGO	SHORT-LONG	LONG_FORM	1439	1473	transaminasa glutámico-oxalacética
S0376-78922011000500005-1	SHORT_FORM	127	131	EPOC	SHORT-LONG	LONG_FORM	86	125	enfermedad pulmonar obstructiva crónica
S0365-66912006000100008-1	SHORT_FORM	303	306	RMN	SHORT-LONG	LONG_FORM	273	301	resonancia magnética nuclear
S1130-05582013000400005-1	SHORT_FORM	346	349	TAC	SHORT-LONG	LONG_FORM	314	344	tomografía axial computarizada
S1137-66272014000100019-1	SHORT_FORM	1032	1035	HQR	SHORT-LONG	LONG_FORM	999	1030	hamartoma quístico retrorrectal
S1134-80462006000600005-1	SHORT_FORM	1062	1065	LLA	SHORT-LONG	LONG_FORM	1032	1060	leucemia linfoblástica aguda
S0376-78922009000400002-1	SHORT_FORM	651	654	UCI	SHORT-LONG	LONG_FORM	620	649	Unidad de Cuidados Intensivos
S1139-76322011000100011-1	SHORT_FORM	582	583	P	SHORT-LONG	LONG_FORM	573	580	fósforo
S1139-76322011000100011-1	SHORT_FORM	1229	1232	PTH	SHORT-LONG	LONG_FORM	1207	1227	hormona paratiroidea
S1139-76322011000100011-1	SHORT_FORM	2036	2040	HTBI	SHORT-LONG	LONG_FORM	1982	2034	hiperfosfatasemia benigna transitoria de la infancia
S1139-76322011000100011-1	SHORT_FORM	568	570	Ca	SHORT-LONG	LONG_FORM	560	566	calcio
S0376-78922011000500012-1	SHORT_FORM	260	263	UCI	SHORT-LONG	LONG_FORM	229	258	Unidad de Cuidados Intensivos
S1699-695X2016000200009-1	SHORT_FORM	1469	1471	RM	SHORT-LONG	LONG_FORM	1447	1467	resonancia magnética
S1699-695X2016000200009-1	SHORT_FORM	268	272	MMII	SHORT-LONG	LONG_FORM	247	266	miembros inferiores
S0365-66912009001100005-1	SHORT_FORM	163	165	AV	SHORT-LONG	LONG_FORM	147	161	agudeza visual
S0365-66912009001100005-1	SHORT_FORM	312	314	OD	SHORT-LONG	LONG_FORM	299	310	ojo derecho
S0365-66912009001100005-1	SHORT_FORM	384	386	OI	SHORT-LONG	LONG_FORM	369	382	ojo izquierdo
S0365-66912009001100005-1	SHORT_FORM	797	799	TC	SHORT-LONG	LONG_FORM	771	795	tomografía computerizada
S0365-66912009001100005-1	SHORT_FORM	123	125	AO	SHORT-LONG	LONG_FORM	111	121	ambos ojos
S1138-123X2004000100006-2	SHORT_FORM	832	835	AEO	SHORT-LONG	LONG_FORM	808	830	aparatología extraoral
S0365-66912012000200004-1	SHORT_FORM	107	109	OI	SHORT-LONG	LONG_FORM	92	105	ojo izquierdo
S0365-66912012000200004-1	SHORT_FORM	793	795	OD	SHORT-LONG	LONG_FORM	780	791	ojo derecho
S0365-66912012000200004-1	SHORT_FORM	2190	2193	TAC	SHORT-LONG	LONG_FORM	2158	2188	tomografía axial computarizada
S0365-66912012000200004-1	SHORT_FORM	73	75	AV	SHORT-LONG	LONG_FORM	57	71	agudeza visual
S0365-66912005001200010-1	SHORT_FORM	413	415	OD	SHORT-LONG	LONG_FORM	400	411	ojo derecho
S0365-66912005001200010-1	SHORT_FORM	789	791	NO	SHORT-LONG	LONG_FORM	774	787	nervio óptico
S0365-66912005001200010-1	SHORT_FORM	306	308	OI	SHORT-LONG	LONG_FORM	291	304	ojo izquierdo
S0210-56912007000700008-1	SHORT_FORM	578	581	LDH	SHORT-LONG	LONG_FORM	555	576	lacticodeshidrogenasa
S0210-56912007000700008-1	SHORT_FORM	2011	2015	FiO2	SHORT-LONG	LONG_FORM	1980	2009	fracción inspirada de oxígeno
S0210-56912007000700008-1	SHORT_FORM	2070	2074	PEEP	SHORT-LONG	LONG_FORM	2026	2068	presión positiva al final de la espiración
S0210-56912007000700008-1	SHORT_FORM	428	432	PaO2	SHORT-LONG	LONG_FORM	399	426	presión arterial de oxígeno
S1130-05582014000400006-1	SHORT_FORM	526	534	CBMF-HGO	SHORT-LONG	LONG_FORM	435	494	Cirugía Bucal y Maxilofacial del Hospital General del Oeste
S1130-01082007001100012-1	SHORT_FORM	462	464	NE	SHORT-LONG	LONG_FORM	443	460	nutrición enteral
S1130-01082007001100012-1	SHORT_FORM	1212	1216	AGCM	SHORT-LONG	LONG_FORM	1181	1210	ácidos grasos de cadena media
S0376-78922009000100014-1	SHORT_FORM	3821	3824	RNM	SHORT-LONG	LONG_FORM	3791	3819	Resonancia Nuclear Magnética
S0365-66912006000900010-1	SHORT_FORM	671	674	RNM	SHORT-LONG	LONG_FORM	641	669	Resonancia Nuclear Magnética
S0365-66912005000600011-1	SHORT_FORM	122	124	OI	SHORT-LONG	LONG_FORM	107	120	ojo izquierdo
S0365-66912005000600011-1	SHORT_FORM	571	573	OD	SHORT-LONG	LONG_FORM	558	569	ojo derecho
S0365-66912005000600011-1	SHORT_FORM	612	615	BPA	SHORT-LONG	LONG_FORM	596	610	biomicroscopía
S0365-66912005000600011-1	SHORT_FORM	1156	1159	IgG	SHORT-LONG	LONG_FORM	1137	1154	Inmunoglobulina G
S0365-66912005000600011-1	SHORT_FORM	544	546	AV	SHORT-LONG	LONG_FORM	528	542	agudeza visual
S0378-48352006000300005-1	SHORT_FORM	1432	1435	LNH	SHORT-LONG	LONG_FORM	1412	1430	linfoma no Hodgkin
S0378-48352006000300005-1	SHORT_FORM	1554	1559	LLBCP	SHORT-LONG	LONG_FORM	1511	1552	Linfoma linfocítico B de células pequeñas
S0378-48352006000300005-1	SHORT_FORM	1330	1334	PAAF	SHORT-LONG	LONG_FORM	1295	1328	punción-aspiración con aguja fina
S0378-48352006000300005-1	SHORT_FORM	2360	2363	LPP	SHORT-LONG	LONG_FORM	2333	2358	linfoma pulmonar primario
S0378-48352006000300005-1	SHORT_FORM	3591	3595	RPMB	SHORT-LONG	LONG_FORM	3563	3589	remisión parcial muy buena
S0378-48352006000300005-1	SHORT_FORM	665	668	TAC	SHORT-LONG	LONG_FORM	633	663	tomografía axial computerizada
S0212-16112013000300055-1	SHORT_FORM	1768	1770	RN	SHORT-LONG	LONG_FORM	1754	1766	Rango Normal
S0212-16112013000300055-1	SHORT_FORM	262	264	CU	SHORT-LONG	LONG_FORM	244	260	Colitis Ulcerosa
S0211-69952015000300011-1	SHORT_FORM	1809	1815	apo AI	SHORT-LONG	LONG_FORM	1789	1807	apolipoproteína AI
S0211-69952015000300011-1	SHORT_FORM	1613	1617	Afib	SHORT-LONG	LONG_FORM	1591	1611	alfa del fibrinógeno
S0210-48062009000400017-1	SHORT_FORM	398	400	TC	SHORT-LONG	LONG_FORM	372	396	tomografía computarizada
S0210-48062009000400017-1	SHORT_FORM	439	441	IV	SHORT-LONG	LONG_FORM	426	437	intravenoso
S0210-48062009000400017-1	SHORT_FORM	1137	1139	RM	SHORT-LONG	LONG_FORM	1115	1135	resonancia magnética
S0210-48062009000400017-1	SHORT_FORM	61	64	RTU	SHORT-LONG	LONG_FORM	37	59	resección transuretral
S0210-48062004000900010-1	SHORT_FORM	133	136	TBC	SHORT-LONG	LONG_FORM	119	131	tuberculosis
S1130-05582010000200003-1	SHORT_FORM	1290	1292	TC	SHORT-LONG	LONG_FORM	1264	1288	tomografía computarizada
S0365-66912009001100006-1	SHORT_FORM	141	143	OD	SHORT-LONG	LONG_FORM	128	139	ojo derecho
S0365-66912009001100006-1	SHORT_FORM	179	181	OI	SHORT-LONG	LONG_FORM	164	177	ojo izquierdo
S0365-66912009001100006-1	SHORT_FORM	504	507	BMU	SHORT-LONG	LONG_FORM	476	502	biomicroscopía ultrasónica
S0365-66912009001100006-1	SHORT_FORM	106	109	PIO	SHORT-LONG	LONG_FORM	85	104	presión intraocular
S1139-76322012000300006-2	SHORT_FORM	1501	1504	CMV	SHORT-LONG	LONG_FORM	1484	1499	citomegalovirus
S1139-76322009000100006-1	SHORT_FORM	1169	1171	IV	SHORT-LONG	LONG_FORM	1156	1167	intravenoso
S1139-76322009000100006-1	SHORT_FORM	1940	1944	UCIP	SHORT-LONG	LONG_FORM	1898	1938	Unidad de Cuidados Intensivos pediátrica
S1139-76322009000100006-1	SHORT_FORM	779	782	ppm	SHORT-LONG	LONG_FORM	755	777	pulsaciones por minuto
S0365-66912009000800005-1	SHORT_FORM	487	489	OD	SHORT-LONG	LONG_FORM	474	485	ojo derecho
S0365-66912009000800005-1	SHORT_FORM	991	994	VSG	SHORT-LONG	LONG_FORM	954	989	velocidad de sedimentación globular
S0365-66912009000800005-1	SHORT_FORM	455	457	OI	SHORT-LONG	LONG_FORM	440	453	ojo izquierdo
S0365-66912012000500005-1	SHORT_FORM	1275	1278	AFG	SHORT-LONG	LONG_FORM	1247	1273	Angiografía fluoresceínica
S0365-66912012000500005-1	SHORT_FORM	1377	1380	EPR	SHORT-LONG	LONG_FORM	1345	1375	epitelio pigmentario retiniano
S0365-66912012000500005-1	SHORT_FORM	1038	1046	hiper-FA	SHORT-LONG	LONG_FORM	1015	1036	hiperautofluorescente
S0365-66912012000500005-1	SHORT_FORM	987	989	FA	SHORT-LONG	LONG_FORM	959	985	autofluorescencia de fondo
S0365-66912012000500005-1	SHORT_FORM	1103	1110	hipo-FA	SHORT-LONG	LONG_FORM	1080	1101	hipoautofluorescentes
S0365-66912012000500005-1	SHORT_FORM	702	704	AO	SHORT-LONG	LONG_FORM	690	700	ambos ojos
S0365-66912012000500005-1	SHORT_FORM	451	453	FO	SHORT-LONG	LONG_FORM	437	449	fondo de ojo
S0365-66912012000500005-1	SHORT_FORM	247	251	MAVC	SHORT-LONG	LONG_FORM	215	245	mejor agudeza visual corregida
S0365-66912012000500005-1	SHORT_FORM	272	274	OD	SHORT-LONG	LONG_FORM	259	270	ojo derecho
S0365-66912012000500005-1	SHORT_FORM	330	333	PIO	SHORT-LONG	LONG_FORM	309	328	presión intraocular
S0365-66912012000500005-1	SHORT_FORM	356	359	BMC	SHORT-LONG	LONG_FORM	340	354	biomicroscopia
S0365-66912012000500005-1	SHORT_FORM	656	658	EA	SHORT-LONG	LONG_FORM	637	654	estrías angioides
S0365-66912012000500005-1	SHORT_FORM	110	112	OI	SHORT-LONG	LONG_FORM	95	108	ojo izquierdo
S0365-66912012000500005-1	SHORT_FORM	1505	1508	OCT	SHORT-LONG	LONG_FORM	1472	1503	tomografía óptica de coherencia
S1889-836X2015000100003-1	SHORT_FORM	1946	1949	RMN	SHORT-LONG	LONG_FORM	1916	1944	resonancia magnética nuclear
S1889-836X2015000100003-1	SHORT_FORM	1897	1900	TAC	SHORT-LONG	LONG_FORM	1865	1895	tomografía axial computarizada
S1889-836X2015000100003-1	SHORT_FORM	77	80	UMO	SHORT-LONG	LONG_FORM	53	75	Unidad Metabólica Ósea
S1889-836X2015000100003-1	SHORT_FORM	398	402	P1NP	SHORT-LONG	LONG_FORM	404	452	propéptido amino-terminal del procolágeno tipo 1
S1699-695X2015000100013-1	SHORT_FORM	2026	2029	PRC	SHORT-LONG	LONG_FORM	1989	2024	Programa de Rehabilitación Cardiaca
S1699-695X2015000100013-1	SHORT_FORM	71	73	AP	SHORT-LONG	LONG_FORM	52	69	Atención primaria
S0210-56912010000200009-1	SHORT_FORM	2068	2071	BAL	SHORT-LONG	LONG_FORM	2045	2066	lavado broncoalveolar
S0210-56912010000200009-1	SHORT_FORM	856	860	VMNI	SHORT-LONG	LONG_FORM	822	854	ventilación mecánica no invasiva
S0365-66912007000200011-1	SHORT_FORM	207	209	OD	SHORT-LONG	LONG_FORM	194	205	ojo derecho
S0365-66912007000200011-1	SHORT_FORM	658	661	AGF	SHORT-LONG	LONG_FORM	630	656	angiografía fluoresceínica
S0365-66912007000200011-1	SHORT_FORM	262	264	OI	SHORT-LONG	LONG_FORM	247	260	ojo izquierdo
S0365-66912007000200011-1	SHORT_FORM	830	833	AVI	SHORT-LONG	LONG_FORM	792	828	angiografía con verde de indocianina
S0365-66912007000200011-1	SHORT_FORM	99	102	TFD	SHORT-LONG	LONG_FORM	61	97	terapia fotodinámica con Verteporfin
S1137-66272013000100023-1	SHORT_FORM	1199	1201	UH	SHORT-LONG	LONG_FORM	1179	1198	Unidades Hounsfield
S1137-66272013000100023-1	SHORT_FORM	1048	1050	RX	SHORT-LONG	LONG_FORM	1035	1046	radiografía
S1135-76062005000100002-1	SHORT_FORM	1068	1071	HSA	SHORT-LONG	LONG_FORM	1042	1066	hemorragia subaracnoidea
S1699-695X2015000200010-1	SHORT_FORM	1190	1192	BM	SHORT-LONG	LONG_FORM	1172	1188	balance muscular
S1699-695X2015000200010-1	SHORT_FORM	822	824	BA	SHORT-LONG	LONG_FORM	803	820	balance articular
S0210-48062006000400012-1	SHORT_FORM	931	934	RNM	SHORT-LONG	LONG_FORM	901	929	resonancia nuclear magnética
S1698-69462006000300015-1	SHORT_FORM	447	450	ATM	SHORT-LONG	LONG_FORM	415	445	articulación temporomandibular
S0365-66912009000300010-1	SHORT_FORM	839	842	ICG	SHORT-LONG	LONG_FORM	801	837	angiografía con verde de indocianina
S0365-66912009000300010-1	SHORT_FORM	649	652	AGF	SHORT-LONG	LONG_FORM	621	647	angiografía fluoresceínica
S1130-05582012000300005-1	SHORT_FORM	1006	1010	PAAF	SHORT-LONG	LONG_FORM	971	1004	punción-aspiración con aguja fina
S1130-05582012000300005-1	SHORT_FORM	789	791	RM	SHORT-LONG	LONG_FORM	767	787	resonancia magnética
S1130-05582017000200119-1	SHORT_FORM	679	681	TC	SHORT-LONG	LONG_FORM	653	677	tomografía computarizada
